"Country","League","Season","Date","Time","","Home","Away","HG","AG","Res","PH","PD","PA"
"Argentina","Liga Profesional","2023","4/17/2023","23:00","","Sarmiento Junin","Arsenal Sarandi","1","0","1","2","3.22","4.47"
"Argentina","Liga Profesional","2023","4/18/2023","1:30","","Atl. Tucuman","Rosario Central","2","2","0","2.24","3.15","3.7"
"Argentina","Liga Profesional","2023","4/18/2023","1:30","","Godoy Cruz","Lanus","4","4","0","2.7","2.98","3.05"
"Argentina","Liga Profesional","2023","4/22/2023","0:30","","Colon Santa Fe","Velez Sarsfield","2","1","1","2.12","3.15","4.07"
"Argentina","Liga Profesional","2023","4/22/2023","19:30","","Arsenal Sarandi","Union de Santa Fe","2","1","1","3.1","3.07","2.6"
"Argentina","Liga Profesional","2023","4/22/2023","19:30","","Lanus","Sarmiento Junin","2","1","1","1.78","3.38","5.61"
"Argentina","Liga Profesional","2023","4/23/2023","0:30","","Belgrano","Newells Old Boys","1","0","1","2.48","2.88","3.53"
"Argentina","Liga Profesional","2023","4/23/2023","0:30","","Central Cordoba","Godoy Cruz","0","2","-1","2.52","3.08","3.22"
"Argentina","Liga Profesional","2023","4/23/2023","15:00","","San Lorenzo","Platense","1","0","1","2.02","3.02","4.78"
"Argentina","Liga Profesional","2023","4/23/2023","19:30","","Rosario Central","Boca Juniors","2","2","0","2.88","3.01","2.83"
"Argentina","Liga Profesional","2023","4/23/2023","21:30","","Instituto","Banfield","1","1","0","2.09","3.08","4.34"
"Argentina","Liga Profesional","2023","4/23/2023","22:00","","Estudiantes L.P.","Talleres Cordoba","1","0","1","2.22","3.14","3.78"
"Argentina","Liga Profesional","2023","4/24/2023","0:30","","River Plate","Independiente","2","0","1","1.33","5.42","10.05"
"Argentina","Liga Profesional","2023","4/24/2023","19:30","","Barracas Central","Defensa y Justicia","0","2","-1","3.46","3.38","2.23"
"Argentina","Liga Profesional","2023","4/24/2023","23:00","","Racing Club","Atl. Tucuman","1","3","-1","1.88","3.47","4.66"
"Argentina","Liga Profesional","2023","4/25/2023","1:30","","Argentinos Jrs","Gimnasia L.P.","2","4","-1","1.39","4.82","9.17"
"Argentina","Liga Profesional","2023","4/25/2023","23:30","","Tigre","Huracan","1","0","1","2.39","3.02","3.52"
"Argentina","Liga Profesional","2023","4/28/2023","0:00","","Platense","Estudiantes L.P.","1","2","-1","3.65","2.92","2.4"
"Argentina","Liga Profesional","2023","4/28/2023","0:00","","Sarmiento Junin","Godoy Cruz","1","1","0","2.41","3.07","3.41"
"Argentina","Liga Profesional","2023","4/28/2023","23:00","","Huracan","Arsenal Sarandi","2","1","1","1.74","3.62","5.45"
"Argentina","Liga Profesional","2023","4/28/2023","23:00","","Newells Old Boys","Argentinos Jrs","0","0","0","2.38","2.95","3.66"
"Argentina","Liga Profesional","2023","4/29/2023","1:30","","Atl. Tucuman","River Plate","1","1","0","3.54","3.42","2.18"
"Argentina","Liga Profesional","2023","4/29/2023","18:00","","Velez Sarsfield","San Lorenzo","0","0","0","3.01","2.75","2.97"
"Argentina","Liga Profesional","2023","4/29/2023","20:30","","Gimnasia L.P.","Tigre","1","1","0","3.21","3.34","2.37"
"Argentina","Liga Profesional","2023","4/29/2023","23:00","","Banfield","Barracas Central","0","0","0","1.96","3.26","4.57"
"Argentina","Liga Profesional","2023","4/29/2023","23:00","","Instituto","Central Cordoba","0","2","-1","1.95","3.34","4.49"
"Argentina","Liga Profesional","2023","4/30/2023","1:30","","Boca Juniors","Racing Club","3","1","1","2.71","3.18","2.87"
"Argentina","Liga Profesional","2023","4/30/2023","19:30","","Defensa y Justicia","Colon Santa Fe","2","0","1","2","3.53","3.98"
"Argentina","Liga Profesional","2023","4/30/2023","22:00","","Independiente","Belgrano","2","0","1","2.49","2.94","3.43"
"Argentina","Liga Profesional","2023","5/1/2023","0:30","","Talleres Cordoba","Rosario Central","3","1","1","1.96","3.39","4.35"
"Argentina","Liga Profesional","2023","5/5/2023","19:30","","Barracas Central","Instituto","3","0","1","3.22","3.01","2.56"
"Argentina","Liga Profesional","2023","5/5/2023","19:30","","Godoy Cruz","Union de Santa Fe","0","0","0","2.21","3.25","3.65"
"Argentina","Liga Profesional","2023","5/6/2023","19:30","","Lanus","Huracan","1","0","1","2.41","2.94","3.58"
"Argentina","Liga Profesional","2023","5/6/2023","22:00","","Belgrano","Atl. Tucuman","1","0","1","2.38","3","3.57"
"Argentina","Liga Profesional","2023","5/6/2023","22:00","","Colon Santa Fe","Banfield","2","0","1","2.22","3.16","3.77"
"Argentina","Liga Profesional","2023","5/7/2023","0:30","","Argentinos Jrs","Independiente","2","2","0","1.87","3.44","4.78"
"Argentina","Liga Profesional","2023","5/7/2023","18:00","","Rosario Central","Platense","4","0","1","2.02","3.18","4.45"
"Argentina","Liga Profesional","2023","5/7/2023","21:30","","River Plate","Boca Juniors","1","0","1","1.64","4.06","5.52"
"Argentina","Liga Profesional","2023","5/8/2023","1:00","","Estudiantes L.P.","Velez Sarsfield","2","0","1","1.96","3.14","4.86"
"Argentina","Liga Profesional","2023","5/8/2023","1:00","","Tigre","Newells Old Boys","2","2","0","2.32","3.01","3.7"
"Argentina","Liga Profesional","2023","5/8/2023","19:30","","Arsenal Sarandi","Gimnasia L.P.","0","1","-1","2.4","3.26","3.23"
"Argentina","Liga Profesional","2023","5/8/2023","21:00","","San Lorenzo","Defensa y Justicia","0","0","0","2.19","3.02","4.04"
"Argentina","Liga Profesional","2023","5/8/2023","23:30","","Racing Club","Talleres Cordoba","2","4","-1","2.86","2.98","2.88"
"Argentina","Liga Profesional","2023","5/9/2023","1:30","","Central Cordoba","Sarmiento Junin","0","1","-1","2.4","3.04","3.48"
